run_id,learning_rate,gamma,batch_size,buffer_size,learning_starts,exploration_fraction,exploration_final_eps,tau,train_freq,total_reward
1,0.0001,0.99,64,20000,1000,0.1,0.02,,,-31205.0
2,0.0005,0.95,32,50000,500,0.15,0.05,,,-31250.0
3,5e-05,0.98,128,30000,2000,0.2,0.01,,,-32025.0
4,0.0002,0.9,256,100000,1000,0.25,0.02,,,-31270.0
5,0.001,0.99,64,40000,1500,0.12,0.03,,,-31300.0
6,0.0003,0.92,32,80000,2000,0.18,0.02,,,-31080.0
7,5e-05,0.999,256,120000,500,0.3,0.1,,,-30915.0
8,0.0004,0.97,128,60000,2000,0.05,0.01,,,-31120.0
9,0.00015,0.94,32,150000,3000,0.35,0.05,,,-31215.0
10,0.0001,0.99,64,20000,1000,0.05,0.005,0.005,4,-31350.0
