run_name,learning_rate,gamma,hidden_size,episodes_per_run,timesteps,mean_reward
1,0.001,0.99,128,800,160000,-136.9999999999995
2,0.0005,0.98,64,1200,240000,-121.99999999999962
3,0.002,0.95,128,600,120000,-150.99999999999943
4,0.001,0.97,256,800,160000,-119.99999999999969
5,0.0005,0.99,128,1000,200000,-135.9999999999997
6,0.0002,0.99,64,1200,240000,-114.99999999999963
7,0.001,0.9,128,800,160000,-136.99999999999957
8,0.0008,0.98,256,800,160000,-136.9999999999995
9,0.001,0.995,128,500,100000,-129.99999999999963
10,0.0005,0.96,64,1000,200000,-128.99999999999955
